,The Picture of Dorian Gray,The Prince,The Republic,The Problems of Philosophy,Second Treatise of Government,Beyond Good and Evil,Siddhartha,The Communist Manifesto,On Liberty,Democracy and Education: An Introduction to the Philosophy of Education,The Poetics of Aristotle,The Consolation of Philosophy,Ethics,The Antichrist,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,Nature,A Treatise of Human Nature,Symposium,An Enquiry Concerning Human Understanding,The World as Will and Idea (Vol. 1 of 3),The Elementary Forms of the Religious Life,Utilitarianism,"The Will to Believe, and Other Essays in Popular Philosophy","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen",The inequality of human races
deceptions,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0006048486516195553,0.0008388610375509353,0.00032028214474532355,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030703655290719405,0.0,0.0,0.0,0.0013692764768250497,0.0
sport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
than,0.006037229532515504,0.006386781197905518,0.011915143963598959,0.00646400955396768,0.00927162300402696,0.005746062190385775,0.002516583112652806,0.004163667881689206,0.008096903642088588,0.008590117835415915,0.004791791143625039,0.0009902473952599481,0.004370887407003028,0.0031675201208835593,0.025349584440886974,0.002582391909582382,0.005819683189749863,0.011142894829250044,0.005531060498256758,0.0039914751877935225,0.0018038762957843233,0.012575135617668919,0.004962724302654682,0.0038796166843376406,0.0044783518547789
humble,0.0,0.0008709247088052979,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0006477522913670871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.00015032302464869363,0.0,0.0,0.0,0.0
boons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
adjustment,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0003482154634140639,0.0003072811387920421,0.0,0.0,0.0,0.0002067801792772784,0.0002282127461375083,0.0
elliot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unprincipled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worker,0.0,0.0,0.0,0.0,0.0,0.0006048486516195553,0.0,0.0022419750132172647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attach,0.0,0.00029030823626843263,0.0,0.0,0.0,0.0006048486516195553,0.0,0.0,0.00032387614568354353,0.001120450152445554,0.0002818700672720611,0.0,0.0002428270781668349,0.0,0.0,0.0,0.0,0.002785723707312511,0.0,0.00030703655290719405,0.0004509690739460808,0.0,0.0,0.0,0.0
impatient,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0002796203458503118,0.0,0.00032387614568354353,0.0,0.0,0.00016504123254332468,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0006140731058143881,0.0,0.0,0.0,0.0,0.0
see,0.003149858886529828,0.002903082362684326,0.0013239048848443288,0.018673805378128853,0.0022476661827944147,0.0021169702806684435,0.0005592406917006236,0.0012811285789812942,0.0009716284370506306,0.0029878670731881443,0.0008456102018161833,0.0009902473952599481,0.002185443703501514,0.0017055877573988396,0.0007921745137777179,0.002582391909582382,0.00027712777094046967,0.0003482154634140639,0.0015364056939602105,0.0024562924232575524,0.0004509690739460808,0.0,0.001033900896386392,0.0020539147152375745,0.00268701111286734
aught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0007921745137777179,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.0
it,0.056959948198081055,0.03803037895116467,0.007943429309065973,0.06715387703288644,0.04916769774862782,0.04748061915213509,0.025725071818228685,0.02690370015860718,0.03854126133634168,0.05714295777472326,0.027623266592661986,0.015018752161442545,0.04443735530453078,0.04605086944976867,0.044757860028441065,0.035866554299755306,0.04046065455730857,0.009401817512179726,0.04056111032054956,0.06386360300469636,0.025705237214926607,0.059827160362849095,0.028742444919541695,0.03194978445925116,0.022615676866633443
equestrian,0.0,0.0,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.00024365539391411992,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
skinned,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reared,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0007921745137777179,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
criticised,0.000787464721632457,0.00029030823626843263,0.0006619524424221644,0.0014364465675483732,0.0,0.0003024243258097776,0.0,0.0019216928684719413,0.0009716284370506306,0.0,0.0008456102018161833,0.0,0.0,0.0019492431513129594,0.0,0.0005738648687960849,0.0008313833128214091,0.0006964309268281278,0.0006145622775840842,0.0006140731058143881,0.001202584197189549,0.0007621294313738739,0.001033900896386392,0.0011410637306875414,0.000671752778216835
allegories,0.0,0.0,0.0006619524424221644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738648687960849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eclipsed,0.0,0.0,0.0,0.0003591116418870933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
portions,0.0,0.0,0.0013239048848443288,0.0,0.0,0.0,0.0,0.0012811285789812942,0.0022671330197848046,0.00037348338414851804,0.0005637401345441222,0.00033008246508664936,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.00030064604929738725,0.0007621294313738739,0.0,0.0,0.0
suitably,0.0,0.0,0.0,0.0007182232837741866,0.0,0.000907272977429333,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003482154634140639,0.0003072811387920421,0.00030703655290719405,0.0,0.0,0.0,0.0,0.0
keenness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nutrition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.00029030823626843263,0.0003309762212110822,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sufficient,0.0,0.0005806164725368653,0.0003309762212110822,0.0007182232837741866,0.0014047913642465091,0.0012096973032391105,0.0,0.0016014107237266179,0.0006477522913670871,0.001120450152445554,0.0002818700672720611,0.0,0.0012141353908341744,0.00024365539391411992,0.004356959825777449,0.00028693243439804244,0.0013856388547023484,0.0003482154634140639,0.002458249110336337,0.005833694505236687,0.00030064604929738725,0.0026674530098085582,0.0002067801792772784,0.0,0.0
imposing,0.0,0.0,0.0,0.0,0.0,0.0006048486516195553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027712777094046967,0.0,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.0
tis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brambles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003072811387920421,0.0,0.0,0.0,0.0,0.0,0.0
predestination,0.0,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executor,0.0,0.00029030823626843263,0.0,0.0,0.001966707909945113,0.0006048486516195553,0.0,0.00032028214474532355,0.0006477522913670871,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0,0.00039608725688885897,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
parson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032028214474532355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youngest,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0003024243258097776,0.0002796203458503118,0.0,0.00032387614568354353,0.0007469667682970361,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0006964309268281278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024365539391411992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007621294313738739,0.0002067801792772784,0.0002282127461375083,0.0
here,0.0010499529621766093,0.0005806164725368653,0.001985857327266493,0.00107733492566128,0.0028095827284930182,0.0039315162355271095,0.0047535458794553,0.0012811285789812942,0.0016193807284177175,0.0,0.004228051009080917,0.0,0.0014569624690010093,0.002192898545227079,0.0015843490275554359,0.0005738648687960849,0.0030484054803451665,0.0013928618536562555,0.002150967971544295,0.005219621399422299,0.000751615123243468,0.00038106471568693693,0.0018610216134955055,0.0027385529536500994,0.00089567037095578
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016504123254332468,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
definitions,0.0002624882405441523,0.00029030823626843263,0.0023168335484775753,0.00107733492566128,0.0,0.0012096973032391105,0.0,0.0,0.00032387614568354353,0.00037348338414851804,0.0025368306054485497,0.0,0.0050993686415035325,0.00024365539391411992,0.0,0.00028693243439804244,0.0,0.0,0.0,0.0,0.0021045223450817108,0.0,0.0002067801792772784,0.0006846382384125249,0.001119587963694725
twitched,0.0,0.0,0.0,0.0,0.0,0.0,0.0002796203458503118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
justice,0.0,0.0,0.017872715945398437,0.0,0.0011238330913972074,0.0003024243258097776,0.0,0.00032028214474532355,0.00032387614568354353,0.0,0.0,0.0006601649301732987,0.0,0.00024365539391411992,0.00039608725688885897,0.00028693243439804244,0.0011085110837618787,0.0006964309268281278,0.0,0.0,0.0,0.0007621294313738739,0.0,0.0002282127461375083,0.000223917592738945
universality,0.0,0.0,0.0003309762212110822,0.0007182232837741866,0.00028095827284930184,0.0,0.0002796203458503118,0.0012811285789812942,0.0006477522913670871,0.0,0.0011274802690882445,0.0009902473952599481,0.0026710978598351834,0.0012182769695705997,0.0,0.004877851384766721,0.0019398943965832876,0.0013928618536562555,0.002458249110336337,0.0030703655290719406,0.000751615123243468,0.0015242588627477477,0.0014474612549409487,0.0,0.000671752778216835
laziness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032028214474532355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
ugliness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006846382384125249,0.0
odd,0.0005249764810883046,0.0,0.0,0.0003591116418870933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0002067801792772784,0.0,0.000223917592738945
improvements,0.0002624882405441523,0.0,0.0006619524424221644,0.0,0.0030905410013423204,0.0,0.0,0.0012811285789812942,0.0022671330197848046,0.0007469667682970361,0.0005637401345441222,0.0,0.0,0.00024365539391411992,0.0007921745137777179,0.0,0.0013856388547023484,0.0006964309268281278,0.0012291245551681684,0.00030703655290719405,0.0,0.0019053235784346847,0.0,0.0002282127461375083,0.0
extremes,0.0002624882405441523,0.00029030823626843263,0.0003309762212110822,0.0,0.0,0.0003024243258097776,0.0,0.0,0.0009716284370506306,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.00024365539391411992,0.001188261770666577,0.00028693243439804244,0.00027712777094046967,0.0006964309268281278,0.0006145622775840842,0.0,0.0,0.00038106471568693693,0.0004135603585545568,0.0006846382384125249,0.000223917592738945
landlord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006405642894906471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thasian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elegiac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637401345441222,0.0,0.0,0.0,0.0,0.0,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motions,0.000787464721632457,0.0,0.0003309762212110822,0.005386674628306399,0.0,0.0006048486516195553,0.0016777220751018707,0.0006405642894906471,0.0,0.00037348338414851804,0.0,0.00016504123254332468,0.0009713083126673395,0.0,0.00039608725688885897,0.0014346621719902122,0.0008313833128214091,0.0,0.003072811387920421,0.00030703655290719405,0.0,0.0,0.0,0.0002282127461375083,0.0
ending,0.0002624882405441523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037348338414851804,0.0002818700672720611,0.0,0.0,0.0,0.0,0.00028693243439804244,0.0,0.0003482154634140639,0.0,0.0,0.0,0.0,0.0,0.0002282127461375083,0.0
parish,0.0,0.0,0.0,0.0,0.00028095827284930184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
lesser,0.0,0.0,0.0,0.0,0.00028095827284930184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000223917592738945
austin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032387614568354353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walked,0.0010499529621766093,0.0,0.0,0.0,0.0,0.0,0.0036350644960540532,0.0,0.0,0.0,0.0002818700672720611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
