track_id,track_name,artist,artist_id,album_id,album_name,track_duration
5Ci8dd2fzlYU8VJ1gBhqtR,Statue Of Liberty.,Phony Ppl,0oBsnAC3fzYkTHF3bkfNx6,6IGDCUkBJ3LEUoAcoTD46u,Yesterday's Tomorrow,241466
5cf3gpvyhgDeUwhLbOIgcu,CHUMBUCKET,PNTHN,62JKSoyCpZOf9IchN4EZAe,2kFcB9YdHc56LKz3Cr28tK,POTLUCK,237000
7zfLS7MJmy8zmj1OL7s6bk,My Mind Went Blank,DJ Screw,6TC6ZeVdvCuBSn32h5Msul,05qVKtCTd3o2NTcD34aZge,"All Screwed Up, Vol. II",397466
7zfLS7MJmy8zmj1OL7s6bk,My Mind Went Blank,Point Blank,5Nz0G9zAjZVmIgqtGfHham,05qVKtCTd3o2NTcD34aZge,"All Screwed Up, Vol. II",397466
4n3i8iYdTpOHUTf3BmGmaF,Comin' Out Hard,8Ball & MJG,7iUhmKPNkkPPS6FCQxqtNq,06SddgnxumQW8eVw2lcn9S,Comin Out Hard,270293
5KG9pMvrVL0MbnLhmGlSG5,Sleepy Hollow People - Vocal Version,Klaus Layer,0qU9C0toB3cUdPP8NMZl9x,1n8HMMOeRzJ5hUqAnpB3g3,Society Collapse,184000
5KG9pMvrVL0MbnLhmGlSG5,Sleepy Hollow People - Vocal Version,K.A.A.N.,6WSTevYt4rGwm8QPKQr7dU,1n8HMMOeRzJ5hUqAnpB3g3,Society Collapse,184000
0SHCaQBfwlNBgBK1r8ED9g,Born2Lose,Baker Ya Maker,65T6BIrUTcgylCYTXqVxvR,4xVqjotzcnBj9rml9sZJch,"Greatest Hits, Pt. 1",146102
28s5iRbX62GZG2ReZTLKDa,Better Days,Graham Nash,2E6Roj0oQnJIm2BeXwDica,3Lh1KbeS801PtOeojquUPk,Songs For Beginners,230173
1WvGWCDuj0dfRpuBuYecXp,Enough!!,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,3WvQpufOsPzkZvcSuynCf3,We got it from Here... Thank You 4 Your service,200693
3T37jKtvQzNExmz3DuQNoz,Don't You Know,Jan Hammer Group,1LkRvd0mF7sh56nyibirHw,5Td0PdkKDdr2wjOuZELiE8,Melodies,180077
