0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.691,0.637,8,-8.863,1,0.362,0.0161,0.0,0.545,0.45,177.788,4,Hey Little Momma (feat. Brandon Casey & Brian Casey),Bow Wow,12,218440,2003-08-19
0.569,0.523,9,-6.415,0,0.0265,0.204,2.92e-05,0.121,0.554,110.929,4,When You're Smiling and Astride Me,Father John Misty,37,274053,2015-02-09
0.682,0.801,1,-8.207,0,0.0358,0.0157,0.0425,0.313,0.651,146.001,4,Open Plan Living,Mako Road,38,193411,2018-11-24
0.711,0.784,10,-7.027,0,0.133,0.00201,0.336,0.0902,0.896,97.148,4,Plumskinnz (Oh No I Don't Believe It),KMD,36,101000,2000-05-15
0.857,0.508,7,-8.427,1,0.288,0.0958,0.00871,0.129,0.296,87.018,4,Phantoms,CZARFACE,41,259415,2018-03-30
0.669,0.754,10,-6.243,1,0.0539,0.304,0.00902,0.593,0.737,129.048,4,My Hang up is you,SKULL SNAPS 50th Anniversary,8,241371,2022-08-03
0.574,0.717,7,-10.034,1,0.0456,0.0125,0.0013,0.288,0.691,131.921,4,I Confess,The English Beat,40,270666,1982
0.524,0.441,9,-7.855,1,0.03,0.584,0.059,0.126,0.398,126.054,4,My Lucky Egg,Summer Salt,32,170844,2019-12-24
0.819,0.825,1,-7.642,1,0.238,0.00426,2.6e-06,0.285,0.583,93.761,4,Return of The Crooklyn Dodgers,Crooklyn Dodgers,38,304840,1995-08-29
0.469,0.413,7,-10.499,1,0.0339,0.836,0.307,0.128,0.0585,134.985,4,Odyssey,Yndi,33,370381,2013-03-23
0.62,0.756,10,-6.196,0,0.0421,0.0274,0.000207,0.117,0.639,148.282,4,Do Not Ask,Shy Shy Shy,26,199717,2015-07-31
0.498,0.307,2,-13.432,0,0.0438,0.323,0.87,0.153,0.108,140.158,4,A Quiet Evening,Voron,30,114932,2020-11-30
0.727,0.644,5,-6.147,1,0.0329,0.0178,0.135,0.104,0.771,117.982,4,Hammered,Richard In Your Mind,29,150362,2014-08-29
0.829,0.724,6,-6.648,1,0.208,0.0163,0.373,0.145,0.601,91.002,4,Message from Poet,Blaq Poet,39,171416,2018-05-23
0.577,0.728,2,-7.355,0,0.048,0.356,0.0496,0.652,0.787,77.406,4,I Feel Like Loving You Today,Donald Byrd,31,415146,2019-03-01
0.747,0.57,10,-6.943,1,0.394,0.683,1.53e-05,0.0658,0.966,202.592,4,Boylife In America,Cody Chesnutt,24,141213,2003-01-21
0.578,0.438,2,-11.483,0,0.0696,0.737,0.00877,0.097,0.79,89.083,4,I Know You Know,Esperanza Spalding,48,225200,2008-01-01
0.444,0.105,5,-17.271,1,0.0696,0.923,3e-06,0.121,0.453,202.689,4,That Summer Feeling,Jonathan Richman,38,366600,1992-01-01
0.586,0.7,8,-9.532,1,0.0383,0.0771,2.31e-06,0.0903,0.976,147.091,4,Laissons dire - Remastered,Adamo,9,120265,2020-04-21
0.469,0.672,5,-9.23,0,0.244,0.202,0.0,0.852,0.682,99.471,4,Knock Knock,MED,51,285093,2015-10-30
0.523,0.647,1,-6.385,1,0.253,0.00287,0.000327,0.344,0.192,139.72,4,Puppets (Succession Remix),Pusha T,38,137520,2019-10-11
0.451,0.922,0,-5.824,1,0.0604,9.19e-06,0.732,0.231,0.662,160.01,4,The Imperfect World - Single Edit,Dino Fiore,27,322874,2021-02-08
0.788,0.384,1,-11.916,0,0.0702,0.0285,0.864,0.0499,0.745,95.044,4,Easejimi,Nightmares On Wax,3,333400,1999
0.418,0.917,11,-3.319,0,0.131,0.0178,4.77e-05,0.0681,0.59,79.022,4,Gabrielle,Ween,45,209466,2005-07-15
0.804,0.739,1,-8.022,1,0.491,0.16,0.0,0.0971,0.567,116.021,4,Los Angeles,Ameer Vann,28,142941,2019-09-18
0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,4,12:51,The Strokes,63,153133,2003-10-28
0.577,0.78,11,-7.475,1,0.151,0.0282,0.0,0.305,0.558,79.971,4,"Coast/Clear (feat. Kirk Knight, Nyck Caution & Issa Gold)",Beast Coast,39,227933,2019-05-24
0.388,0.501,4,-7.75,0,0.0272,0.66,9.53e-05,0.0674,0.151,75.99,4,Better Days,Roy Ayers,16,199240,1976
0.55,0.563,0,-8.306,1,0.0312,0.0187,0.0441,0.122,0.0674,112.997,4,Ditch,Gus Dapperton,49,210233,2016-06-03
0.579,0.684,10,-7.012,0,0.0333,0.000718,0.816,0.0702,0.9,91.049,4,Travellin' Man (Instrumental),dj honda,28,316666,2009-06-22
0.536,0.967,9,-5.608,0,0.0399,0.0314,0.906,0.294,0.358,114.968,4,Supernova Run,Absolute Valentine,35,228202,2016-02-23
0.556,0.792,1,-4.758,0,0.336,0.0169,0.0,0.401,0.466,114.332,5,"Last Choir (feat. Meechy Darko, Kirk Knight, Erick The Architect, Nyck Caution & AKTHESAVIOR)",Beast Coast,36,235466,2019-05-24
0.673,0.162,5,-17.238,1,0.0392,0.928,0.255,0.0938,0.31,127.591,4,Insensatez,Stan Getz,40,201093,1963
0.606,0.775,5,-4.269,0,0.0671,0.262,0.0,0.1,0.307,164.02,4,Sugar Wraith,Post Malone,60,228146,2018-04-27
0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,4,Shoota (feat. Lil Uzi Vert),Playboi Carti,76,153800,2018-05-11
0.703,0.745,4,-5.136,0,0.237,0.252,0.775,0.665,0.626,106.074,4,Dum Dum,Souleance,10,200124,2014-07-14
0.773,0.748,0,-8.135,1,0.104,0.0724,0.0,0.182,0.672,98.727,4,Tha Squeeze,Gang Starr,30,208466,2006-01-01
0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,4,Somewhere Only We Know,Keane,73,236160,2004-01-01
0.568,0.878,2,-5.147,1,0.0288,0.000608,0.0419,0.0918,0.816,127.848,4,Under the Pines,Twin Peaks,26,233479,2018-02-09
0.774,0.454,5,-8.441,1,0.0282,0.818,0.000977,0.181,0.737,139.808,4,Another (Demo) One #2,Mac DeMarco,63,166833,2016-04-16
0.439,0.34,9,-11.832,0,0.0308,0.617,0.485,0.0926,0.0376,107.791,4,"Main Intro Theme (From ""Far Cry 5"")",Baltic House Orchestra,32,209000,2018-04-24
0.741,0.589,0,-9.608,1,0.0643,0.399,0.238,0.244,0.418,90.407,4,Lincoln Highway Dub,Sublime,34,141453,1994-03-01
0.881,0.523,11,-4.87,0,0.338,0.142,0.0,0.0771,0.75,96.506,4,Get Dis Money,Slum Village,48,211132,2009-01-26
0.761,0.624,7,-5.159,1,0.0258,0.813,0.000395,0.106,0.468,119.946,4,Hydrocodone,Cuco,57,152290,2019-07-26
0.543,0.572,11,-8.974,1,0.338,0.51,7.23e-06,0.28,0.569,89.386,4,Pothole (feat. Jaden Smith),"Tyler, The Creator",60,237000,2017-07-21
0.601,0.918,8,-5.455,1,0.338,0.113,4.88e-06,0.149,0.832,107.893,4,Lockjaw,King Geedorah,60,63000,2003-06-17
0.557,0.677,4,-7.28,0,0.343,0.124,0.0,0.204,0.567,83.375,4,A Name to the Face,CZARFACE,32,105373,2021-05-07
0.564,0.597,11,-12.046,0,0.139,0.308,0.00755,0.152,0.564,89.46,4,"Rich Man, Poor Man",Andrew Wartts And The Gospel Storytellers,7,277942,2014-04-03
0.655,0.623,11,-10.01,1,0.316,0.0222,0.0,0.0493,0.609,104.12,4,Rockin' for My Home Town,K-Solo,5,216253,1990-05-22
0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3,Golden Brown,The Stranglers,68,206760,1981
0.419,0.249,0,-16.836,0,0.0629,0.55,0.874,0.108,0.236,119.87,4,No Trouble,Hippie Sabotage,25,167907,2014-03-11
0.694,0.89,6,-3.918,0,0.331,0.1,0.0,0.0514,0.748,91.238,4,"John Blaze (feat. Nas, Big Punisher, Jadakiss & Raekwon)",Fat Joe,42,290400,1998-09-01
0.612,0.694,0,-7.73,0,0.38,0.613,0.0,0.145,0.693,85.002,4,The Town,Jay Royale,23,173869,2020-08-07
0.615,0.731,11,-9.174,1,0.369,0.19,0.0,0.452,0.538,87.752,4,マーダー・ヴェニューズ,キラーミー,0,228360,1998
0.533,0.927,6,-4.295,1,0.302,0.201,0.0,0.351,0.673,77.844,4,Outcast,Ransom,11,256157,2013-09-30
0.335,0.825,8,-5.598,1,0.0506,0.00523,0.00429,0.226,0.682,177.156,4,Paint Me Silver,Pond,53,224973,2017-05-05
0.808,0.799,10,-9.83,0,0.0682,0.00261,0.914,0.0841,0.904,120.013,4,"When Round, They Go - Original Mix",Peggy Gou,15,391649,2016-04-22
0.603,0.92,1,-3.557,0,0.372,0.58,0.0,0.25,0.639,89.67,4,The Fine Print,King Geedorah,41,269360,2003-06-17
