,"Wilde, Oscar","Machiavelli, Niccolò",Plato,"Russell, Bertrand","Locke, John","Nietzsche, Friedrich Wilhelm","Wittgenstein, Ludwig","Hesse, Hermann","Engels, Friedrich","Mill, John Stuart","Kant, Immanuel","Dewey, John","Pascal, Blaise",Aristotle,Boethius,"Spinoza, Benedictus de","Descartes, René","Emerson, Ralph Waldo","Hume, David","Schopenhauer, Arthur","Durkheim, Émile","James, William","Gobineau, Arthur, comte de"
attacks,0.0,0.0037575767340627675,0.0014659112947703822,0.0,0.0,0.0018405145237038467,0.002691573626327303,0.0,0.0007870057073912006,0.0008576941290381753,0.0007989045262329867,0.0,0.002856250499217836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017639030009349306,0.0,0.0008495177223292685
bios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015793078942544225,0.0,0.0,0.0
thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0017943824175515354,0.0,0.0,0.0,0.0,0.0,0.0009520834997392788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
divino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015793078942544225,0.0,0.0,0.0
misuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008576941290381753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021771190924714675,0.0008495177223292685
embroiderer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009520834997392788,0.0,0.0010446714713228532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003158615788508845,0.0,0.0,0.0
interact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009220303088939024,0.0,0.0,0.0,0.0,0.0,0.0007668783815912302,0.0,0.0,0.0,0.0,0.0
drives,0.0,0.0009393941835156919,0.0,0.0008660959934845551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010446714713228532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learning,0.0,0.0009393941835156919,0.0,0.0,0.0,0.0,0.0,0.006383328444624759,0.0,0.0025730823871145257,0.0,0.011064363706726829,0.0,0.0,0.0,0.0,0.001703213003725838,0.0007668783815912302,0.004839588537864093,0.0,0.0,0.0010885595462357337,0.0
confessional,0.0,0.0,0.0014659112947703822,0.0,0.0008688041563890435,0.0009202572618519233,0.0,0.0,0.0007870057073912006,0.0,0.0007989045262329867,0.0,0.0009520834997392788,0.0,0.005223357356614266,0.0009258703626708408,0.001703213003725838,0.0,0.005807506245436913,0.0,0.0,0.0021771190924714675,0.0025485531669878054
